Magic_number,Profit,Months,Trades/Month,PF,PF_Nor,Max_DD_%,Succes_rate,Ulcer_In,Win/DD_Ratio,Mean_cons_loss,Max_cons_loss,Max_Profit,Max_DD,DD_duration
19255,51468.34,165,9.38,2.17,2.17,9.99,0.38,2.43,3.07,2.61,13,51529.26,-998.95,325
22015,37706.24,169,22.62,1.3,1.3,13.0,0.52,3.03,1.8,1.59,8,37707.03,-1299.67,445
19307,35395.75,169,7.62,2.04,2.04,7.89,0.69,1.78,2.76,1.49,6,35398.08,-788.87,224
19308,31901.76,169,7.74,2.06,2.06,6.26,0.67,1.76,3.12,1.58,6,31920.24,-625.76,196
19304,31890.54,169,7.98,2.0,2.0,8.91,0.68,1.91,2.15,1.48,6,31957.85,-890.69,364
25099,28666.72,173,12.38,1.49,1.49,9.64,0.28,3.32,1.77,3.54,21,28981.1,-964.4,420
18044,28291.77,173,3.91,1.64,1.64,10.12,0.35,3.32,2.03,2.81,10,28347.33,-1012.42,652
19309,27719.76,169,5.98,2.35,2.35,4.81,0.7,1.35,3.52,1.52,6,27738.58,-481.07,196
19273,27222.68,173,12.93,1.34,1.34,10.1,0.3,3.2,1.53,3.25,15,27279.23,-1010.22,288
18065,26339.46,172,16.6,1.79,1.79,7.33,0.89,1.57,2.21,1.16,3,26420.65,-733.34,535
19223,26192.55,173,29.09,1.44,1.44,9.91,0.26,2.61,1.53,4.25,26,26247.97,-991.46,318
25243,25912.64,173,5.66,1.53,1.53,11.33,0.39,3.72,1.35,2.6,11,26214.23,-1133.41,463
25052,25827.42,173,13.08,1.55,1.55,10.63,0.21,3.16,1.45,5.18,33,26398.22,-1063.45,469
25165,25747.9,173,12.15,1.32,1.32,24.62,0.34,7.52,0.62,3.01,15,26010.54,-2461.66,381
19303,25369.78,169,7.1,2.0,2.0,6.77,0.63,1.72,2.31,1.69,7,25388.26,-677.3,208
25051,25228.99,173,12.06,1.59,1.59,10.51,0.21,2.93,1.43,4.95,29,25684.88,-1051.12,490
19325,24646.81,169,6.56,1.9,1.9,7.82,0.75,1.68,1.95,1.32,7,24663.95,-782.18,278
19210,24571.0,173,29.39,1.46,1.46,10.14,0.25,2.02,1.4,4.34,23,24808.78,-1014.49,303
220931,23372.75,173,8.16,1.53,1.53,15.19,0.67,3.4,0.9,1.47,6,23393.58,-1519.19,216
19298,23177.95,169,8.47,1.68,1.68,9.91,0.63,2.97,1.4,1.62,7,23233.67,-991.21,431
19143,23103.02,173,25.32,1.34,1.34,10.32,0.27,3.32,1.29,3.91,26,23230.3,-1032.5,371
22018,22874.17,169,20.25,2.12,2.55,4.23,0.85,0.8,3.35,1.25,4,23005.76,-422.6,450
19218,22168.46,173,33.54,1.36,1.36,7.69,0.26,2.15,1.67,4.34,27,22263.93,-768.86,304
18081,22077.0,172,7.63,1.36,1.36,12.2,0.51,4.37,1.11,1.93,10,22128.95,-1219.78,688
19327,21463.03,169,6.43,1.76,1.76,6.35,0.63,1.78,2.07,1.52,7,21579.39,-634.51,301
19402,21382.54,173,14.91,1.44,1.44,7.33,0.67,2.19,1.67,1.48,6,21637.8,-733.46,231
19512,21313.59,86,14.83,1.74,1.74,7.75,0.71,2.05,3.3,1.43,5,21313.59,-774.8,148
19164,21184.77,173,27.91,1.37,1.37,9.41,0.26,2.27,1.3,3.88,21,21237.78,-940.68,334
18056,20911.8,172,12.32,1.36,1.36,9.94,0.73,3.53,1.32,1.34,5,21067.27,-994.32,542
18090,20768.44,169,18.74,2.03,2.03,3.31,0.8,0.84,3.92,1.3,6,20775.22,-330.5,501
19182,20578.31,173,26.28,1.39,1.39,9.65,0.25,2.57,1.23,4.26,28,20679.11,-964.64,306
19180,20288.57,173,26.84,1.45,1.45,10.18,0.25,2.38,1.15,5.02,30,20289.8,-1017.91,299
25384,20278.07,173,11.71,1.4,1.4,10.39,0.29,3.32,1.13,3.27,16,20290.66,-1039.17,386
19177,19961.25,173,26.12,1.46,1.46,9.74,0.25,2.52,1.18,4.92,28,19975.1,-974.46,534
25307,19765.65,173,4.17,1.65,1.65,11.89,0.45,3.19,0.97,2.17,8,19775.91,-1188.64,472
25400,19764.77,173,5.76,1.47,1.47,11.81,0.42,3.91,0.98,2.41,9,19878.38,-1181.14,730
19179,19405.62,173,26.93,1.42,1.42,9.86,0.25,2.47,1.14,4.81,31,19422.35,-985.99,344
22026,19387.71,169,7.07,2.58,2.58,3.45,0.71,0.77,3.5,1.42,6,19387.71,-345.34,224
18055,19310.84,173,5.74,1.42,1.42,11.32,0.55,3.55,1.06,1.83,8,19539.26,-1132.19,688
19159,19237.98,166,35.14,1.36,1.36,10.22,0.78,3.0,1.14,1.42,8,19237.98,-1021.61,531
25232,19207.21,173,12.95,1.41,1.41,11.34,0.32,4.04,1.0,3.05,13,19400.07,-1133.77,818
22059,18853.81,169,18.15,1.43,1.43,12.87,0.64,3.6,0.87,1.61,9,18853.81,-1287.07,1018
19510,18784.15,86,10.26,1.92,1.92,6.85,0.65,1.94,3.29,1.68,7,18967.16,-685.49,242
19324,18504.94,169,7.29,1.75,1.75,7.19,0.62,1.73,1.57,1.65,6,18593.46,-719.09,311
18083,17872.88,172,4.87,1.44,1.44,14.27,0.47,4.53,0.8,2.04,8,18130.96,-1427.35,603
25217,17231.09,171,2.94,1.84,1.84,11.14,0.38,3.11,0.95,2.51,13,17458.3,-1113.85,470
